text,label,clean_text,token_length
"Navy went to the EV1.net Houston Bowl last year. SAN FRANCISCO -- For only the second time in school history, Navy is going to a bowl in back-to-back seasons. Naval Academy athletic director Chet Gladchuk announced Monday that the team has accepted an invitation",Sports,navy go evnet houston bowl year san francisco second time school history navy go bowl backtoback season naval academy athletic director chet gladchuk announce monday team accept invitation,28
"Snow Says Strong Dollar #39; Is in America #39;s Interest #39; (Update4). The US supports a strong dollar, #39; #39; Treasury Secretary John Snow said, making his first remarks on the currency since George W. Bush was re-elected president on Nov. 2. We support",Business,snow say strong dollar america s interest update support strong dollar treasury secretary john snow say make remark currency george w bush reelect president nov support,26
"UPDATE 1-Warburg Pincus to buy 2.75 of Kotak Mahindra Bank. The board of India #39;s Kotak Mahindra Bank Ltd. (KTKM.BO: Quote, Profile, Research) has approved an issue of shares representing a 2.75 percent stake to Warburg Pincus International LLC.",Business,update warburg pincus buy kotak mahindra bank board india s kotak mahindra bank ltd ktkmbo quote profile research approve issue share represent percent stake warburg pincus international llc,28
"Nintendo #39;s new portable DS a big change from Game Boy. Nintendo believes that when it comes to video games, your fingers want to touch as much as twitch and that two really is better than one.",Sci_Tech,nintendo s new portable ds big change game boy nintendo believe come video game finger want touch twitch well,19
Sparrow song illustrates memory. Sparrows can piece together a complete song from fragments - research that could help with understanding memory.,Sci_Tech,sparrow song illustrate memory sparrow piece complete song fragment research help understand memory,13
"Astros roar into share of wild-card lead. Despite being part of eight playoff teams, including five World Series appearances and two championships, Clemens isn #39;t sure he has ever experienced the kind of wave like the one the Astros are currently riding.",Sports,astros roar share wildcard lead despite playoff team include world series appearance championship clemen isn t sure experience kind wave like astro currently rid,24
"Hints of Unseen Moons in Saturn's Rings (SPACE.com). SPACE.com - A trio of new observations suggests several tiny, unseen moons orbit Saturn and control the shape of its rings.",Sci_Tech,hint unseen moon saturn ring spacecom spacecom trio new observation suggest tiny unseen moon orbit saturn control shape ring,19
"EU objects to Microsoft-Time Warner ContentGuard deal. BRUSSELS -- The European Commission has issued a formal set of objections to Microsoft Corp. and Time Warner Inc. taking control of ContentGuard Holdings Inc., a digital rights management (DRM) company, according to sources familiar with the case.",Sci_Tech,eu object microsofttime warner contentguard deal brussels european commission issue formal set objection microsoft corp time warner inc take control contentguard holdings inc digital right management drm company accord source familiar case,32
"Westwood passes upstart Bishops. MILTON -- It was a game of impersonations. The special teams units from both teams looked like Charlie Brown in the Peanuts comic strip, whiffing every time they tried to kick the ball. Westwood quarterback Jeff White ran like scrambling Michael Vick of the Atlanta Falcons, and the Archbishop Williams offense attempted an imitation of their Super Bowl foes. In ...",Sports,westwood pass upstart bishop milton game impersonation special team unit team look like charlie brown peanut comic strip whiffing time try kick ball westwood quarterback jeff white run like scramble michael vick atlanta falcon archbishop williams offense attempt imitation super bowl foe,42
"Utah firm acquiring KTAR in radio deal. Bonneville International Corp. of Salt Lake City will acquire KTAR, KKLT-FM (98.7) and KMVP-AM (860) from Emmis Communications Corp.",Business,utah firm acquire ktar radio deal bonneville international corp salt lake city acquire ktar kkltfm kmvpam emmis communications corp,19
"Cubs Defeat Marlins, 5-1, in NL Showdown. MIAMI - Mark Prior allowed five hits in 7 2-3 innings to out-pitch Carl Pavano, and the Chicago Cubs moved one percentage point ahead of San Francisco atop the NL wild-card standings by beating the Florida Marlins 5-1 in the first game of a doubleheader Monday. Corey Patterson's two-run double in the second inning put the Cubs ahead to stay...",World,cub defeat marlin nl showdown miami mark prior allow hit innings outpitch carl pavano chicago cub move percentage point ahead san francisco atop nl wildcard standing beat florida marlin game doubleheader monday corey patterson tworun double second inning cub ahead stay,41
"Agassi tries to work major magic at age 34. Can Serena and Venus Williams, who missed the 2003 Open with injuries, re-emerge as the best in the women #39;s game? Venus hasn #39;t won a major in three years, Serena in 14 months.",Sports,agassi try work major magic age serena venus williams miss open injury reemerge good woman s game venus hasn t win major year serena month,25
UN probing alleged abuse by staff in DRC. The United Nations is investigating around 150 allegations of sexual abuse by UN civilian staff and soldiers in the Democratic Republic of Congo.,World,un probe allege abuse staff drc united nations investigate allegation sexual abuse un civilian staff soldier democratic republic congo,19
"Matsushita To Launch World #39;s Largest Plasma TV. TOKYO, SEPT 6: Panasonic brand products maker Matsushita Electric Industrial Co said on Monday it will launch the world #39;s largest plasma display television, with a screen measuring 65-inches diagonally, on Oct 1 in Japan.",Sci_Tech,matsushita launch world s large plasma tv tokyo sept panasonic brand product maker matsushita electric industrial co say monday launch world s large plasma display television screen measure inch diagonally oct japan,32
"Spotlight shines on quarterbacks. They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field.",Sports,spotlight shin quarterback not different prototype quarterback seemingly build createaplayer function video game stand tall pocket fire laser beam field,20
"Okocha Calls for Caution, As Allardyce Celebrates. First they beat Liverpool 1-0, then they were held to a 2-2 draw by Manchester United and last weekend, they ended Arsenal #39;s 100 Premiership winning record, when they held their nerves to pull a shock 2-2 draw at Highbury, home of Arsenal.",Sports,okocha call caution allardyce celebrate beat liverpool hold draw manchester united weekend end arsenal s premiership win record hold nerve pull shock draw highbury home arsenal,26
"Myanmar #39;s military govt frees number two political prisoner: party &lt;b&gt;...&lt;/b&gt;. YANGON : Myanmar #39;s military government has freed the country #39;s second most prominent political prisoner, student democracy leader Min Ko Naing, an opposition party spokesman told AFP.",World,myanmar s military govt free number political prisoner party ltbgtltbgt yangon myanmar s military government free country s second prominent political prisoner student democracy leader min ko nae opposition party spokesman tell afp,33
"Hewlett-Packard buys Synstar. IT services company Synstar plc, of Bracknell, England, has been acquired by Hewlett-Packard Co., of Palo Alto, for about $293.3 million.",Business,hewlettpackard buy synstar service company synstar plc bracknell england acquire hewlettpackard co palo alto million,15
Palestinian PM Qorei set for talks in Egypt (AFP). AFP - Palestinian premier Ahmed Qorei is to hold talks with senior officials in Egypt this week over Israel's planned pullout from the Gaza Strip and the possibility of a new truce by armed factions.,World,palestinian pm qorei set talk egypt afp afp palestinian premier ahmed qorei hold talk senior official egypt week israel plan pullout gaza strip possibility new truce armed faction,28
"Euro Disney Eyes $180 Mln 'Tower of Terror'-Source. PARIS (Reuters) - Euro Disney wants to use part of a planned rights issue to build a gut-wrenching new ""Tower of Terror"" ride that could cost some 150 million euros ( $182.2 million), sources familiar with the situation said.",Sci_Tech,euro disney eyes mln tower terrorsource paris reuters euro disney want use plan right issue build gutwrenching new tower terror ride cost million euro million source familiar situation say,29
"Death toll rises to 66 from Chinese coal mine explosion as &lt;b&gt;...&lt;/b&gt;. Rescue workers pulled more bodies out of a mine shaft choked with toxic fumes Friday as the death toll in China #39;s worst mining accident this year rose to 66, with 82 workers missing and feared dead.",World,death toll rise chinese coal explosion ltbgtltbgt rescue worker pull body shaft choke toxic fume friday death toll china s bad mining accident year rise worker miss fear dead,29
Australia welcomes arrest of embassy bomb suspects. The Australian Government has welcomed the arrests of four key suspects in the bombing of Australia #39;s embassy in Jakarta in September.,World,australia welcome arrest embassy bomb suspect australian government welcome arrest key suspect bombing australia s embassy jakarta september,18
"Woolworths tops rival pubs offer. Retailer Woolworths raised its bid Thursday for Australian Leisure amp; Hospitality Group (ALH) by 15 percent to Aust. $1.11 billion ( $795 million), topping an offer by private equity firm Newbridge Capital.",Business,woolworth top rival pub offer retailer woolworth raise bid thursday australian leisure amp hospitality group alh percent aust billion million top offer private equity firm newbridge capital,27
"He hurt me:. Carolina Panthers kickoff returner Rod Smart, aka quot;He Hate Me, quot; sprained his left knee Sunday on a kickoff return in the second quarter against the Atlanta Falcons.",Sports,hurt carolina panther kickoff returner rod smart aka quothe hate quot sprain left knee sunday kickoff return second quarter atlanta falcon,21
Microsoft CEO: Hackers Getting Smarter (AP). AP - Microsoft Corp.'s chief executive believes it's naive to suggest the software giant can eliminate all security vulnerabilities in its various products even though engineers are trying hard to do so.,Sci_Tech,microsoft ceo hacker get smart ap ap microsoft corps chief executive believe naive suggest software giant eliminate security vulnerability product engineer try hard,23
"Citigroup to Revamp Japan Operations -WSJ. Citigroup is to revamp its Japanese private banking unit, creating a local committee to oversee operations, the Wall Street Journal reported.",Business,citigroup revamp japan operation wsj citigroup revamp japanese private banking unit create local committee oversee operation wall street journal report,20
"Life-or-Death Question: How Supernovas Happen. Lately, supernovas have become signal events in the life of the cosmos, as told by modern science.",Sci_Tech,lifeordeath question supernovas happen lately supernovas signal event life cosmos tell modern science,13
Roddick to Lead U.S. Against Spain in Davis Cup Final. NEW YORK (Reuters) - World number two Andy Roddick will lead the U.S. against Spain in the Davis Cup final next month.,Sports,roddick lead spain davis cup final new york reuters world number andy roddick lead spain davis cup final month,19
"Aid Flight Delayed After Plane Hits Cow (AP). AP - A Boeing 737 carrying aid for Tsunami victims hit a herd of cows as it landed early Tuesday in Indonesia's devastated Aceh province, forcing the airport to close and delaying relief flights, officials said.",World,aid flight delay plane hit cow ap ap boeing carry aid tsunami victim hit herd cow land early tuesday indonesias devastate aceh province force airport close delay relief flight official say,31
Guantanamo terror hearing halted. A US federal court halts proceedings at Guantanamo Bay against a former driver for Osama Bin Laden.,World,guantanamo terror hearing halt federal court halt proceeding guantanamo bay driver osama bin laden,14
"GAME 6: DETROIT 28, NY GIANTS 13. First score: Lions, on an 18-yard touchdown pass from quarterback Joey Harrington to wide receiver Roy Williams in the first quarter.",Sports,game detroit ny giants score lion yard touchdown pass quarterback joey harrington wide receiver roy williams quarter,17
"Federal Reserve opens meeting, tipped to raise rates. WASHINGTON (AFP) - US Federal Reserve policymakers met, poised to raise key interest rates to remove some of the cheap-money stimulus washing through the economy.",Business,federal reserve open meeting tip raise rate washington afp federal reserve policymaker meet poise raise key interest rate remove cheapmoney stimulus wash economy,23
"Ants use odour, geometry: study. ANTS use angled signposts, using tiny scent markers, to find their way home or follow the path into the wilderness, according to a study published today.",Sci_Tech,ant use odour geometry study ant use angle signpost tiny scent marker find way home follow path wilderness accord study publish today,22
"EBay Offers #36;530 Million for Rest of S.Korean Arm (Reuters). Reuters - EBay Inc. offered about #36;530 million to buy the remainder of South Korean affiliate Internet Auction Co. Ltd. as it pushes deeper into Asia, saying key shareholders had accepted a 79 percent increase to an earlier offer.",Sci_Tech,ebay offer million rest skorean arm reuters reuters ebay inc offer million buy remainder south korean affiliate internet auction co ltd push deeply asia say key shareholder accept percent increase early offer,32
EU judge considers impact of Microsoft dropouts. A European Union judge has summoned all sides for a closed meeting today to consider how to handle the decision by two major opponents of Microsoft to drop out of an antitrust case against the company.,Business,eu judge consider impact microsoft dropout european union judge summon side closed meeting today consider handle decision major opponent microsoft drop antitrust case company,24
"Electronic Back-Seat Driver System to Be Tested. Australian scientists have invented an electronic driver #39;s assistant system, similar to the back-seat driver who forever points out road signs and warns against speeding.",Sci_Tech,electronic backseat driver system test australian scientist invent electronic driver s assistant system similar backseat driver forever point road sign warn speed,22
Australian Football: Melbourne sidelined as Brisbane and Port &lt;b&gt;...&lt;/b&gt;. The Australian Football League Grand Final between Brisbane Lions and Port Adelaide on Saturday marks an epoch for Australia #39;s favorite spectator sport.,Sports,australian football melbourne sideline brisbane port ltbgtltbgt australian football league grand final brisbane lion port adelaide saturday mark epoch australia s favorite spectator sport,24
"Aziz briefs Pakistani officials. Prime Minister Shaukat Aziz is briefing top Pakistani officials of his talks with India #39;s premier on Kashmir. A meeting of the country #39;s national security council, comprising military and political leaders, is under way in the capital Islamabad.",World,aziz briefs pakistani official prime minister shaukat aziz brief pakistani official talk india s premier kashmir meeting country s national security council comprise military political leader way capital islamabad,29
McDonald #39;s CEO says strategy unchanged. McDonald #39;s (MCD) newly appointed Chief Executive Jim Skinner said Friday that there would be no change in strategy at the fast-food chain and a recent physical showed he is in good health.,Business,mcdonald s ceo say strategy unchanged mcdonald s mcd newly appoint chief executive jim skinner say friday change strategy fastfood chain recent physical show good health,26
"Guest Column Addressing Global Imbalances is Within the Realm of &lt;b&gt;...&lt;/b&gt;. THE global economy is slowly recovering, and with it hopes for a sustained period of economic growth in all regions. South Africa #39;s economic future is tied to that of the rest of the world and for this reason",Business,guest column address global imbalance realm ltbgtltbgt global economy slowly recover hop sustained period economic growth region south africa s economic future tie rest world reason,26
"Premiership: Harry Redknapp quits Portsmouth. Nobody really expected Harry Redknapp to stay at Portsmouth Football Club for very much longer, but the announcement of his decision to resign today (November 24) is perhaps still a little surprising.",Sports,premiership harry redknapp quit portsmouth expect harry redknapp stay portsmouth football club long announcement decision resign today november little surprising,20
"Conn. Man Charged with Selling Secret Windows Code. NEW YORK (Reuters) - A Connecticut man was arrested on Tuesday on charges that he illegally sold a secret source code used for Microsoft Corp.'s Windows NT 4.0 and Windows 2000 programs, federal prosecutors said.",Sci_Tech,conn man charge sell secret windows code new york reuters connecticut man arrest tuesday charge illegally sell secret source code microsoft corps windows not window program federal prosecutor say,29
Dell's second-quarter earnings meet expectations. CEO says firm saw no sales slowdown. Could results help calm waters after bad news from HP and Cisco?,Sci_Tech,dells secondquarter earning meet expectation ceo say firm see sale slowdown result help calm water bad news hp cisco,19
"Israel Kills 6 Palestinians in Gaza, W.Bank Raids. JABALYA, Gaza Strip (Reuters) - Israeli forces killed six Palestinians including three teenagers on Wednesday as they thrust deep into Gaza to quell rocket fire into Israel and raided two West Bank cities in search of wanted militants.",World,israel kill palestinians gaza wbank raids jabalya gaza strip reuters israeli force kill palestinians include teenager wednesday thrust deep gaza quell rocket fire israel raid west bank city search want militant,31
"JackBe's Technology Cuts to the Quick. Several years ago, two Mexican brothers took out credit card loans to start JackBe Corp., providing software that helps companies perform business over the Web more efficiently and securely.",Sci_Tech,jackbes technology cut quick year ago mexican brother take credit card loan start jackbe corp provide software help company perform business web efficiently securely,24
"Computer Associates to Fire 800, Trim Product Line (Update3). Computer Associates International Inc., the software maker operating under government oversight after an accounting scandal, will fire 800 workers, or 5 percent of its employees, as the company trims its product line.",Business,computer associate fire trim product line update computer associates international inc software maker operate government oversight accounting scandal fire worker percent employee company trim product line,26
"Dozens killed in Baghdad car bomb. More than twenty five people have died after a car bomb exploded in a busy commercial area outside a restaurant in west Baghdad. Husayn al-Shammari, an Iraqi journalist, told Aljazeera: quot;A car bomb detonated",Sci_Tech,dozen kill baghdad car bomb people die car bomb explode busy commercial area outside restaurant west baghdad husayn alshammari iraqi journalist tell aljazeera quota car bomb detonate,27
"Fed having a change of space. Apparently the mammoth Federal Reserve building going up at 1801 Allen Parkway didn #39;t need to be quite so big after all. It turns out that a portion of the 300,000-square-foot property originally",Business,feed have change space apparently mammoth federal reserve building go allen parkway didn t need big turn portion squarefoot property originally,21
Brazilian Soldier Wounded in Haiti Unrest. A Brazilian soldier with the UN peacekeeping force in Haiti was shot and wounded Saturday when peacekeepers and local police faced gunfire in a crackdown on armed gangs in the Haitian capital.,World,brazilian soldier wound haiti unrest brazilian soldier un peacekeeping force haiti shoot wound saturday peacekeeper local police face gunfire crackdown armed gang haitian capital,24
Ratings Lowest Ever for Open Men's Final (AP). AP - Roger Federer's dominant win over Lleyton Hewitt was the lowest-rated U.S. Open men's final ever.,Sports,rating lowest open men final ap ap roger federers dominant win lleyton hewitt lowestrated open men final,17
"Nets sign Lawrence Frank to 4-year contract extension. A day after signing his first long-term contract as an NBA head coach, Lawrence Frank wasn #39;t in a mood to celebrate. Between the joy of extending his childhood dream and the news conference to announce it",Sports,net sign lawrence frank year contract extension day sign longterm contract nba head coach lawrence frank wasn t mood celebrate joy extend childhood dream news conference announce,27
"News: Technology Already Exists to Stabilize Global Warming. Existing technologies could stop the escalation of global warming for 50 years and work on implementing them can begin immediately, according to an analysis by Princeton University scientists. (Princeton University press release)",Sci_Tech,news technology exist stabilize global warming exist technology stop escalation global warming year work implement begin immediately accord analysis princeton university scientists princeton university press release,26
"Report: Delta Reaches Deal with Pilots. NEW YORK (Reuters) - Delta Airlines has reached a tentative agreement with its pilots union on wage and benefit cuts aimed at avoiding a bankruptcy filing, The Wall Street Journal said in a report late Wednesday on its Web site.",Business,report delta reach deal pilot new york reuters delta airline reach tentative agreement pilot union wage benefit cut aim avoid bankruptcy file wall street journal say report late wednesday web site,31
"Cooking up a digital future. The future kitchen gadgets that could make life easier in the kitchen, say MIT researchers.",Sci_Tech,cook digital future future kitchen gadget life easy kitchen mit researcher,11
"How young Hughes impressed Saint. When Bill Shankly signed this young lad from Blackpool, we couldn #39;t believe the energy this boy had, he was always in the front of the queue at training.",Sports,young hughe impress saint bill shankly sign young lad blackpool couldn t believe energy boy queue training,17
"Jaguar to axe 1,150 jobs. Hard-pressed luxury marque Jaguar says it will cut about 1,150 jobs at its main plant in Coventry in a bid to return to profits, in another blow to Britain #39;s fading glory as a carmaking centre.",Business,jaguar axe job hardpresse luxury marque jaguar say cut job main plant coventry bid return profit blow britain s fade glory carmake centre,23
"Arafat #39;s immediate successor a moderate. Rauhi Fattouh, the man chosen as Yasser Arafat #39;s immediate successor as Palestinian Authority president, is a 55-year-old moderate who only became parliament speaker six months ago.",World,arafat s immediate successor moderate rauhi fattouh man choose yasser arafat s immediate successor palestinian authority president yearold moderate parliament speaker month ago,23
